,Unnamed: 0,file,lex_ocr,fk_ocr,flesch_ocr,lex_gold,fk_gold,flesch_gold,CER
115,115,GALE_CK2349325944.txt,0.7137096774193549,27.787645914396887,5.668720817120658,0.5083056478405316,14.177982961663744,33.7819969932348,0.34427911749615187
116,116,GALE_CK2349327262.txt,0.7244318181818182,7.420312499999998,78.33010416666669,0.5162907268170426,9.705985907489488,59.58237867939541,0.4476969436074042
117,117,GALE_CK2349327283.txt,0.6573275862068966,7.642252747252751,65.66846153846154,0.525691699604743,11.714347379239468,45.0206474820144,0.31722054380664655
118,118,GALE_CK2349327391.txt,0.7021276595744681,6.902910918868368,88.83340659340661,0.4967320261437908,8.538994152046786,63.07323684210526,0.6087414428646656
119,119,GALE_CK2349327475.txt,0.6697459584295612,11.712649572649578,55.533461538461566,0.5639810426540285,12.59676572668113,44.1520482646421,0.26125137211855104
120,120,GALE_CK2349328782.txt,0.5688729874776386,1.3841550279329624,104.2629277234637,0.5247349823321554,13.347896089295755,47.635390668915136,0.7480011844832691
121,121,GALE_CK2349328952.txt,0.7410468319559229,3.314317996591836,92.48693635622732,0.6585956416464891,13.491834451901564,38.54907806428824,0.6155247813411079
122,122,GALE_CK2349329248.txt,0.6239717978848414,11.097897091722595,57.9466163310962,0.3896424167694204,13.938401714983392,30.945530821431618,0.43603801169590645
123,123,GALE_CK2349329552.txt,0.6184092940125112,6.410731288981292,80.23844542619544,0.453650533223954,12.87759116101634,41.9910421075362,0.5634101138469685
124,124,GALE_CK2349329743.txt,0.499271137026239,0.0841411912334244,101.17096547024084,0.3868471953578336,17.68721461548608,21.148221606648207,0.8251134201668374
125,125,GALE_CK2349332806.txt,0.481860465116279,12.551924246827472,48.64259207594691,0.2936732766761095,12.721479862896311,37.10404691516712,0.20352762849662395
126,126,GALE_CK2349335905.txt,0.5801526717557252,9.749623355559564,64.6445674896378,0.4728571428571428,8.865012635942868,64.06323025811399,0.27825702278257025
127,127,GALE_CK2349339276.txt,0.510230179028133,16.544537263203605,35.97865657059114,0.4567126725219573,15.81614163614164,35.51524725274729,0.1500485908649174
128,128,GALE_CK2349000096.txt,0.4204946996466431,7.783384521694366,63.78798416006933,0.3490708186840783,11.548521897979434,47.01800303224192,0.1655960028551035
